"Device ID" "Device Name" "Received At" Temperature Humidity
A84041274A59D771 EMAP_322 "2025-01-23 18:05:00" 19.19 52.9
A84041274A59D771 EMAP_322 "2025-01-23 18:10:00" 19.17 53.4
A84041274A59D771 EMAP_322 "2025-01-23 18:15:00" 19.15 53.9
A84041274A59D771 EMAP_322 "2025-01-23 18:20:00" 19.14 53.6
A84041274A59D771 EMAP_322 "2025-01-23 18:25:00" 19.15 54.6
A84041274A59D771 EMAP_322 "2025-01-23 18:30:00" 19.12 54.7
A84041274A59D771 EMAP_322 "2025-01-23 18:35:00" 19.12 54.4
A84041274A59D771 EMAP_322 "2025-01-23 18:40:00" 19.10 54.9
A84041274A59D771 EMAP_322 "2025-01-23 18:45:00" 19.08 55.0
A84041274A59D771 EMAP_322 "2025-01-23 18:50:00" 19.05 54.4
A84041274A59D771 EMAP_322 "2025-01-23 18:55:00" 19.04 55.3
A84041274A59D771 EMAP_322 "2025-01-23 19:00:00" 19.00 55.0
A84041274A59D771 EMAP_322 "2025-01-23 19:05:00" 18.95 55.0
A84041274A59D771 EMAP_322 "2025-01-23 19:10:00" 18.94 55.0
A84041274A59D771 EMAP_322 "2025-01-23 19:15:00" 18.93 54.3
A84041274A59D771 EMAP_322 "2025-01-23 19:20:00" 18.90 54.9
A84041274A59D771 EMAP_322 "2025-01-23 19:25:00" 18.86 54.3
A84041274A59D771 EMAP_322 "2025-01-23 19:30:00" 18.87 55.0
A84041274A59D771 EMAP_322 "2025-01-23 19:35:00" 18.83 55.1
A84041274A59D771 EMAP_322 "2025-01-23 19:40:00" 18.78 54.2
A84041274A59D771 EMAP_322 "2025-01-23 19:45:00" 18.80 54.8
A84041274A59D771 EMAP_322 "2025-01-23 19:50:00" 18.77 54.8
A84041274A59D771 EMAP_322 "2025-01-23 19:55:00" 18.77 55.2
A84041274A59D771 EMAP_322 "2025-01-23 20:00:00" 18.77 55.1
A84041274A59D771 EMAP_322 "2025-01-23 20:05:00" 18.75 55.1
A84041274A59D771 EMAP_322 "2025-01-23 20:10:00" 18.74 54.5
A84041274A59D771 EMAP_322 "2025-01-23 20:15:00" 18.70 54.4
A84041274A59D771 EMAP_322 "2025-01-23 20:20:00" 18.71 54.8
A84041274A59D771 EMAP_322 "2025-01-23 20:25:00" 18.69 54.8
A84041274A59D771 EMAP_322 "2025-01-23 20:30:00" 18.64 54.7
A84041274A59D771 EMAP_322 "2025-01-23 20:35:00" 18.64 54.5
A84041274A59D771 EMAP_322 "2025-01-23 20:40:00" 18.62 55.3
A84041274A59D771 EMAP_322 "2025-01-23 20:45:00" 18.59 54.9
A84041274A59D771 EMAP_322 "2025-01-23 20:50:00" 18.59 55.1
A84041274A59D771 EMAP_322 "2025-01-23 20:55:00" 18.56 55.0
A84041274A59D771 EMAP_322 "2025-01-23 21:00:00" 18.53 54.8
A84041274A59D771 EMAP_322 "2025-01-23 21:05:00" 18.50 54.9
A84041274A59D771 EMAP_322 "2025-01-23 21:10:00" 18.49 55.0
A84041274A59D771 EMAP_322 "2025-01-23 21:15:00" 18.49 54.9
A84041274A59D771 EMAP_322 "2025-01-23 21:20:00" 18.46 54.8
A84041274A59D771 EMAP_322 "2025-01-23 21:25:00" 18.42 54.7
A84041274A59D771 EMAP_322 "2025-01-23 21:30:00" 18.40 54.8
A84041274A59D771 EMAP_322 "2025-01-23 21:35:00" 18.39 54.4
A84041274A59D771 EMAP_322 "2025-01-23 21:40:00" 18.36 54.6
A84041274A59D771 EMAP_322 "2025-01-23 21:45:00" 18.34 54.6
A84041274A59D771 EMAP_322 "2025-01-23 21:50:00" 18.32 54.5
A84041274A59D771 EMAP_322 "2025-01-23 21:55:00" 18.31 54.5
A84041274A59D771 EMAP_322 "2025-01-23 22:00:00" 18.28 54.8
A84041274A59D771 EMAP_322 "2025-01-23 22:05:00" 18.26 54.9
A84041274A59D771 EMAP_322 "2025-01-23 22:10:00" 18.22 54.7
A84041274A59D771 EMAP_322 "2025-01-23 22:15:00" 18.21 54.5
A84041274A59D771 EMAP_322 "2025-01-23 22:20:00" 18.18 54.6
A84041274A59D771 EMAP_322 "2025-01-23 22:25:00" 18.19 54.8
A84041274A59D771 EMAP_322 "2025-01-23 22:30:00" 18.18 55.1
A84041274A59D771 EMAP_322 "2025-01-23 22:35:00" 18.16 55.0
A84041274A59D771 EMAP_322 "2025-01-23 22:40:00" 18.16 54.9
A84041274A59D771 EMAP_322 "2025-01-23 22:45:00" 18.12 55.1
A84041274A59D771 EMAP_322 "2025-01-23 22:50:00" 18.12 55.5
A84041274A59D771 EMAP_322 "2025-01-23 22:55:00" 18.12 55.2
A84041274A59D771 EMAP_322 "2025-01-23 23:00:00" 18.09 54.2
